experiment,implementation,runtime,shape,dtype,warmup,repeat,seed,timed,correct,precheck,postcheck,median_ms,run_count,min_ms,min_ms_process_min,min_ms_process_max,median_ms_process_min,median_ms_process_max,mean_ms,mean_ms_process_min,mean_ms_process_max,logical_bandwidth_gbs,logical_bandwidth_gbs_process_min,logical_bandwidth_gbs_process_max,tflops,tflops_process_min,tflops_process_max
branch-divergence,wave-divergent,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,0.245241,3,0.24212,0.24092,0.24396,0.24386,0.24692,0.245595,0.243583,0.247367,547.289105,543.566573,550.388438,0.547289,0.543567,0.550388
branch-divergence,wave-uniform,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,0.237341,3,0.23448,0.23404,0.23464,0.237041,0.23932,0.238239,0.23768,0.243542,565.507035,560.829562,566.221582,0.565507,0.56083,0.566222
global-memory,stride-1,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,0.23504,3,0.23232,0.23028,0.234921,0.231941,0.237641,0.238284,0.231762,0.23981,571.042048,564.791952,578.67308,0,0,0
global-memory,stride-17,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,0.771721,3,0.767161,0.760681,0.768322,0.770461,0.772321,0.779353,0.778697,0.78478,173.920014,173.784904,174.20445,0,0,0
global-memory,stride-257,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,1.887641,3,1.866882,1.865321,1.871842,1.884983,1.923662,1.932018,1.911715,1.938386,71.103402,69.771976,71.203697,0,0,0
lds-banks,stride-1,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,8.075865,3,6.848686,6.848524,6.849248,8.065751,8.096146,8.318191,8.312085,8.358628,2143.929766,2138.559224,2146.618058,0.531828,0.530495,0.532494
lds-banks,stride-32,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,42.218658,3,37.139633,36.342361,37.196453,41.267262,52.0186,48.043495,41.62225,50.849419,410.105094,332.844151,419.559871,0.101731,0.082566,0.104077
lds-banks,stride-33,hip,N=16777216,fp32,10,50,20260726,1,OK,OK,OK,8.093651,3,6.724206,6.555453,6.807569,6.570887,8.099028,8.343571,6.583849,8.344593,2139.21842,2137.798227,2634.969476,0.530659,0.530307,0.653636
matrix-path,valu,hip,"batch=4096,M=16,N=16,K=16",fp16-fp32,10,50,20260726,1,OK,OK,OK,0.0372,3,0.0242,0.02312,0.0252,0.03608,0.03832,0.032669,0.031998,0.034252,225.500214,218.909388,232.500204,0.902001,0.875638,0.930001
matrix-path,wmma,hip,"batch=4096,M=16,N=16,K=16",fp16-fp32,10,50,20260726,1,OK,OK,OK,0.01616,3,0.01588,0.015801,0.01592,0.016121,0.01616,0.016138,0.01613,0.01617,519.097026,519.097026,520.368943,2.076388,2.076388,2.081476
